korak,razlicica,vrsta,kazalnik,vrednost,enota
D,delno_ocisceno,Dermatološki pregled - prvi h=4 ar1,MASE,2.5263,
D,delno_ocisceno,Dermatološki pregled - prvi h=4 lin,MAE_vs_naivni_pct,-206.5663,
D,delno_ocisceno,Dermatološki pregled - prvi h=4 lin,MAE,1393.5081,
D,delno_ocisceno,Dermatološki pregled - prvi h=4 lin,MASE,7.3126,
D,delno_ocisceno,Dermatološki pregled - prvi h=4 naivni,MAE_vs_naivni_pct,0.0,
D,delno_ocisceno,Dermatološki pregled - prvi h=4 naivni,MAE,454.5536,
D,delno_ocisceno,Dermatološki pregled - prvi h=4 naivni,MASE,2.3197,
D,delno_ocisceno,Kardiološki pregled - prvi h=1 ar1,MAE_vs_naivni_pct,-1.22,
D,delno_ocisceno,Kardiološki pregled - prvi h=1 ar1,MAE,140.3012,
D,delno_ocisceno,Kardiološki pregled - prvi h=1 ar1,MASE,0.8347,
D,delno_ocisceno,Kardiološki pregled - prvi h=1 lin,MAE_vs_naivni_pct,-501.4639,
D,delno_ocisceno,Kardiološki pregled - prvi h=1 lin,MAE,833.6901,
D,delno_ocisceno,Kardiološki pregled - prvi h=1 lin,MASE,4.8326,
D,delno_ocisceno,Kardiološki pregled - prvi h=1 naivni,MAE_vs_naivni_pct,0.0,
D,delno_ocisceno,Kardiološki pregled - prvi h=1 naivni,MAE,138.6102,
D,delno_ocisceno,Kardiološki pregled - prvi h=1 naivni,MASE,0.8265,
D,delno_ocisceno,Kardiološki pregled - prvi h=4 ar1,MAE_vs_naivni_pct,-2.6873,
D,delno_ocisceno,Kardiološki pregled - prvi h=4 ar1,MAE,378.8243,
D,delno_ocisceno,Kardiološki pregled - prvi h=4 ar1,MASE,2.2287,
D,delno_ocisceno,Kardiološki pregled - prvi h=4 lin,MAE_vs_naivni_pct,-155.0603,
D,delno_ocisceno,Kardiološki pregled - prvi h=4 lin,MAE,940.9447,
D,delno_ocisceno,Kardiološki pregled - prvi h=4 lin,MASE,5.412,
D,delno_ocisceno,Kardiološki pregled - prvi h=4 naivni,MAE_vs_naivni_pct,0.0,
