razlicica,vzs,naziv,horizont,model,n_vse,MAE_vse,RMSE_vse,MASE_vse,MAE_vs_naivni_pct_vse,n_brez_vrzeli,MAE_brez_vrzeli,RMSE_brez_vrzeli,MASE_brez_vrzeli,MAE_vs_naivni_pct_brez_vrzeli,razlika_o_t
ocisceno,1018P,Kardiološki pregled - prvi,1,ar1,58,139.425,177.957,0.831,-1.311,51,137.428,175.02,0.818,-0.37,0.941
ocisceno,1018P,Kardiološki pregled - prvi,1,lin,58,827.804,1021.177,4.801,-501.512,51,805.006,996.668,4.668,-487.932,13.579
ocisceno,1018P,Kardiološki pregled - prvi,1,naivni,58,137.621,176.743,0.822,0.0,51,136.922,174.75,0.817,0.0,0.0
ocisceno,1018P,Kardiološki pregled - prvi,4,ar1,55,388.616,461.705,2.29,-3.46,32,491.323,555.816,2.898,-2.286,1.175
ocisceno,1018P,Kardiološki pregled - prvi,4,lin,55,932.934,1180.06,5.367,-148.373,32,864.569,1131.507,4.944,-79.99,68.383
ocisceno,1018P,Kardiološki pregled - prvi,4,naivni,55,375.618,461.859,2.225,0.0,32,480.344,565.635,2.847,0.0,0.0
ocisceno,1195,Operacija sive mrene (katarakte),1,ar1,58,101.729,134.747,1.007,-3.496,51,98.755,132.056,0.977,-2.285,1.211
ocisceno,1195,Operacija sive mrene (katarakte),1,lin,58,314.218,351.08,3.113,-219.675,51,306.272,344.561,3.041,-217.219,2.456
ocisceno,1195,Operacija sive mrene (katarakte),1,naivni,58,98.293,135.239,0.975,0.0,51,96.549,133.477,0.957,0.0,0.0
ocisceno,1195,Operacija sive mrene (katarakte),4,ar1,55,165.587,213.462,1.636,16.1,32,175.27,218.037,1.736,21.536,5.435
ocisceno,1195,Operacija sive mrene (katarakte),4,lin,55,365.969,401.36,3.629,-85.429,32,307.586,344.247,3.055,-37.699,47.73
ocisceno,1195,Operacija sive mrene (katarakte),4,naivni,55,197.364,225.389,1.957,0.0,32,223.375,248.528,2.218,0.0,0.0
ocisceno,1626,Endoproteza kolena,1,ar1,58,158.229,202.377,1.472,-22.217,51,151.933,190.332,1.421,-19.799,2.418
ocisceno,1626,Endoproteza kolena,1,lin,58,204.629,222.76,1.874,-58.057,51,204.45,224.152,1.876,-61.208,-3.151
ocisceno,1626,Endoproteza kolena,1,naivni,58,129.466,208.312,1.225,0.0,51,126.824,195.581,1.208,0.0,0.0
ocisceno,1626,Endoproteza kolena,4,ar1,55,231.729,286.503,2.117,-9.212,32,195.325,250.517,1.791,-2.298,6.914
ocisceno,1626,Endoproteza kolena,4,lin,55,213.628,236.708,1.949,-0.681,32,204.423,228.922,1.873,-7.063,-6.381
ocisceno,1626,Endoproteza kolena,4,naivni,55,212.182,262.974,1.961,0.0,32,190.938,232.132,1.781,0.0,0.0
ocisceno,1755,MR glave brez kontrasta,1,ar1,58,114.487,134.715,1.134,-0.049,51,114.673,135.093,1.134,-0.005,0.043
ocisceno,1755,MR glave brez kontrasta,1,lin,58,1161.065,1235.41,11.277,-914.642,51,1157.084,1227.243,11.248,-909.085,5.557
ocisceno,1755,MR glave brez kontrasta,1,naivni,58,114.431,135.256,1.13,0.0,51,114.667,134.629,1.131,0.0,0.0
ocisceno,1755,MR glave brez kontrasta,4,ar1,55,362.591,431.415,3.575,3.342,32,420.985,476.92,4.166,-0.205,-3.547
ocisceno,1755,MR glave brez kontrasta,4,lin,55,1341.433,1421.996,13.062,-257.594,32,1383.325,1439.824,13.536,-229.265,28.329
ocisceno,1755,MR glave brez kontrasta,4,naivni,55,375.127,429.462,3.691,0.0,32,420.125,477.403,4.151,0.0,0.0
ocisceno,1941,UZ vratnih žil,1,ar1,58,284.518,387.489,1.055,1.221,51,271.022,371.114,1.004,5.496,4.276
ocisceno,1941,UZ vratnih žil,1,lin,58,1640.817,1811.623,6.097,-469.66,51,1573.55,1740.069,5.846,-448.687,20.972
ocisceno,1941,UZ vratnih žil,1,naivni,58,288.034,376.223,1.072,0.0,51,286.784,367.666,1.066,0.0,0.0
ocisceno,1941,UZ vratnih žil,4,ar1,55,705.508,889.437,2.606,-17.731,32,589.028,718.828,2.181,7.199,24.93
ocisceno,1941,UZ vratnih žil,4,lin,55,1845.957,2044.119,6.894,-208.042,32,1680.97,1852.671,6.276,-164.837,43.205
ocisceno,1941,UZ vratnih žil,4,naivni,55,599.255,743.543,2.236,0.0,32,634.719,758.272,2.37,0.0,0.0
ocisceno,AGREGAT,Agregat,1,ar1,58,1472.483,1748.401,0.939,1.043,51,1395.439,1660.294,0.891,3.956,2.914
ocisceno,AGREGAT,Agregat,1,lin,58,5158.104,5992.005,3.252,-246.647,51,5203.483,6055.157,3.285,-258.139,-11.492
ocisceno,AGREGAT,Agregat,1,naivni,58,1488.0,1759.044,0.95,0.0,51,1452.922,1722.046,0.928,0.0,0.0
ocisceno,AGREGAT,Agregat,4,ar1,55,2964.643,3700.662,1.9,0.768,32,2601.604,3482.615,1.678,24.61,23.842
ocisceno,AGREGAT,Agregat,4,lin,55,5631.759,6588.018,3.554,-88.504,32,6095.799,6846.066,3.865,-76.645,11.859
ocisceno,AGREGAT,Agregat,4,naivni,55,2987.6,3828.374,1.917,0.0,32,3450.875,4346.257,2.223,0.0,0.0
