vzs,naziv,prva,zadnja,rast_pct,mediana,modelirana
1872,RTG torakalne hrbtenice,196.0,168.0,-14.29,219.0,False
1873,RTG lumbosakralne hrbtenice,859.0,746.0,-13.15,908.0,False
1874,RTG hrbtenice v predelu L5 - S1,8.0,10.0,25.0,9.0,False
1875,RTG trtice,16.0,21.0,31.25,20.5,False
1876,RTG ključnice,12.0,7.0,-41.67,10.0,False
1879,RTG reber,47.0,47.0,0.0,55.5,False
1880,RTG prsnice (sternuma),11.0,15.0,36.36,13.0,False
1881,RTG glave,5.0,3.0,-40.0,9.0,False
1882,RTG sinusov,33.0,18.0,-45.45,37.0,False
1887,RTG spodnje čeljusti (mandibule),13.0,8.0,-38.46,9.0,False
1888,RTG pc,1455.0,1090.0,-25.09,1318.0,False
1889,RTG abdomna,6.0,9.0,50.0,11.0,False
1921,Angiografija (brez koronarne angiografije),53.0,59.0,11.32,64.0,False
1930P,Okulistični pregled zaradi očal - prvi,5491.0,4667.0,-15.01,5382.0,False
1931,UZ vratu,1849.0,2410.0,30.34,2031.5,False
1933,UZ otroške glave,58.0,101.0,74.14,58.5,False
1938,Doppler ehografija,136.0,6.0,-95.59,177.0,False
1941,UZ vratnih žil,17932.0,28688.0,59.98,26326.0,True
1943,UZ dojk obojestransko,2944.0,3775.0,28.23,3139.0,False
1944,UZ dojk enostransko,200.0,395.0,97.5,196.5,False
1952,Usmerjen UZ srca,1973.0,2575.0,30.51,2320.0,False
1983,UZ sklepa,1122.0,1012.0,-9.8,941.0,False
1985,UZ kolka novorojenčkov,113.0,103.0,-8.85,110.0,False
1986,UZ kolka dojenčkov,773.0,893.0,15.52,823.5,False
1991,UZ mehkih tkiv,2602.0,2769.0,6.42,2817.5,False
1992,UZ preiskava ene bezgavčne lože,12.0,25.0,108.33,23.5,False
2006,Artroskopija kolena (diagnostična in terapevtska),2253.0,2178.0,-3.33,2207.5,False
2017,"Mamografija (vključuje odčitavanje slike, izključuje preventivno presejanje)",673.0,1034.0,53.64,920.5,False
2072,Kriokauterizacija ali krioterapija (postopek v dermatologiji),40.0,46.0,15.0,45.5,False
2077,Odstranitev polipov,19.0,25.0,31.58,24.0,False
2104,Revizijska operacija kolka,110.0,86.0,-21.82,102.0,False
2105,Revizijska operacija kolena,82.0,112.0,36.59,99.0,False
2106,Revizijska operacija ramena,2.0,6.0,200.0,7.0,False
2107,Vertebroplastika,11.0,22.0,100.0,10.0,False
2108,Operacija hrbtenice - dekompresija,765.0,879.0,14.9,812.5,False
2109,Operacija hrbtenice - spondilodeza,1435.0,1242.0,-13.45,1265.5,False
2160,Lažji posegi v otorinolaringologiji v lokalni anesteziji,249.0,404.0,62.25,254.0,False
2161,Posegi na ušesu v lokalni anesteziji,53.0,19.0,-64.15,24.0,False
2162,Posegi na bobniču ali srednjem ušesu v lokalni anesteziji,251.0,276.0,9.96,278.0,False
2163,Posegi na notranjem ušesu v lokalni anesteziji,2.0,11.0,450.0,10.5,False
2164,Kostno usidran slušni pripomoček - BAHA v lokalni anesteziji,20.0,15.0,-25.0,18.0,False
2165,Posegi na mandljih v lokalni anesteziji,18.0,4.0,-77.78,8.0,False
2166,Funkcionalni posegi v nosu v lokalni anesteziji,264.0,350.0,32.58,304.5,False
2167,MIST (minimalno invazivna terapija sinusov) v lokalni anesteziji,33.0,44.0,33.33,47.0,False
2168,Druge operacije nosu v lokalni anesteziji,880.0,923.0,4.89,960.5,False
2170,Mali posegi malignih sprememb v otorinolaringologiji v lokalni anesteziji,168.0,180.0,7.14,201.0,False
2171,Lažji posegi v otorinolaringologiji v splošni anesteziji,40.0,28.0,-30.0,40.5,False
2172,Posegi na mandljih pri odrasli v splošni anesteziji,606.0,579.0,-4.46,614.0,False
2173,Posegi na mandljih in žrelnici pri otrocih v splošni anesteziji,1172.0,1313.0,12.03,1311.0,False
2174,Posegi na žrelnici pri otrocih v splošni anesteziji,325.0,326.0,0.31,321.5,False
2175,Posegi na žrelnici in bobniču pri otrocih v splošni anesteziji,1047.0,1209.0,15.47,1244.5,False
2176,Operacije malignih tumorjev v otorinolaringologiji v splošni anesteziji,25.0,18.0,-28.0,23.0,False
2177,Funkcionalne estetske operacije nosu v splošni anesteziji,359.0,385.0,7.24,350.5,False
2178,Endoskopske operacije obnosnih votlin v splošni anesteziji,692.0,744.0,7.51,743.5,False
2179,Pansinusne operacije v splošni anesteziji,80.0,120.0,50.0,83.5,False
2181,Druge operacije obnosnih votlin v splošni anesteziji,211.0,416.0,97.16,244.5,False
2182P,Ginekološki pregled (razen pregled nosečnic) na sekundarni ravni - prvi,2161.0,2310.0,6.89,2512.0,False
2183P,Pregled ob neplodnosti - moški - prvi,194.0,300.0,54.64,232.5,False
2184P,Pregled ob neplodnosti - ženske - prvi,422.0,565.0,33.89,417.5,False
2230,Ekscizija majhnih tumorjev v oralni kirurgiji,3.0,11.0,266.67,5.0,False
2233,Obravnava bolezni slinavk,17.0,5.0,-70.59,12.0,False
2237,Zdravljenje recesije dlesni,7.0,4.0,-42.86,6.0,False
2271,UZ skrotuma,870.0,1075.0,23.56,1011.0,False
2284,RTG celotne hrbtenice,91.0,84.0,-7.69,102.0,False
2309,Druge ušesne operacije,297.0,297.0,0.0,288.0,False
2329,PTA (perkutana transluminalna angioplastika),188.0,286.0,52.13,200.5,False
2338P,Urološki pregled otroka - prvi,681.0,448.0,-34.21,554.5,False
2345,MR protokol epilepsija brez KS,60.0,102.0,70.0,67.0,False
