vzs_sifra,vzs_naziv,cd_zelo_hitro,cd_hitro,cd_redno,cak_zelo_hitro,cak_hitro,cak_redno,cak_skupaj,n_tednov
1626,Endoproteza kolena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1640,Osteosinteza rame,0.0,0.0,0.0,0.9018,0.9018,0.9018,0.9018,112
1641,Osteosinteza cervikalne hrbtenice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1642,Osteosinteza torakolumbalne hrbtenice s kletko (cage),0.0,0.0,0.0,0.0089,0.0089,0.0089,0.0089,112
1643,Osteosinteza hrbtenice (drugi posegi),0.0,0.0,0.0,0.0089,0.0089,0.0089,0.0089,112
1662,Poseg na uhlju,0.009,0.009,0.009,0.4775,0.4775,0.4414,0.4414,111
1664,Poseg na jeziku,0.0,0.0,0.0,0.0,0.0089,0.0,0.0,112
1669,CT glave brez KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1670,CT orbit brez KS,0.0,0.0,0.0,0.0,0.0,0.0089,0.0,112
1671,CT skeleta glave,0.0,0.0,0.0,0.0446,0.0625,0.0536,0.0446,112
1672,CT srednjega ušesa in temporalke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1673,CT obraznih kosti,0.0,0.0,0.0,0.0089,0.0,0.0,0.0,112
1674,CT obnosnih votlin brez KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1675,CT vratu brez KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1676,CT glave s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1677,CT orbit s KS,0.0,0.0,0.0,0.1964,0.2054,0.2411,0.1964,112
1678,CT skeleta glave s KS,0.0,0.0,0.0,0.5536,0.5536,0.5446,0.5446,112
1679,CT obnosnih votlin s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1680,CT vratu s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1681,CT skeleta okončin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1682,CT skeleta hrbtenice,0.0,0.0,0.0,0.1071,0.0804,0.1161,0.0804,112
1683,CT cervikalne hrbtenice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1684,CT torakalne hrbtenice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1685,CT lumbo - sakralne hrbtenice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1687,CT skeleta medenice,0.0,0.0,0.0,0.0,0.0,0.0179,0.0,112
1688,CT kolkov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1689,CT SIS (sakroiliakalnega sklepa),0.0,0.0,0.0,0.0625,0.0536,0.0804,0.0536,112
1691,CT kolena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1692,CT rame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1693,CT gležnja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1695,CT po lSR brez KS,0.0,0.0,0.0,1.0,1.0,1.0,1.0,109
1697,CT skeleta drugo - brez KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1698,CT - dentalni,0.0091,0.0091,0.0091,0.8,0.7909,0.8,0.7909,110
1699,CT pelvimetrija,0.0,0.0,0.0,1.0,1.0,1.0,1.0,109
1700,CT skeleta okončin s KS,0.0,0.0,0.0,0.5357,0.5446,0.5536,0.5268,112
1701,CT skeleta hrbtenice s KS,0.0,0.0,0.0,0.9196,0.9196,0.9196,0.9196,112
1702,CT cervikalne hrbtenice s KS,0.0,0.0,0.0,0.2679,0.3036,0.3036,0.2679,112
1703,CT torakalne hrbtenice s KS,0.0,0.0,0.0,0.25,0.25,0.2321,0.2232,112
1704,CT lumbo - sakralne hrbtenice s KS,0.0,0.0,0.0,0.0625,0.0536,0.0625,0.0446,112
