vzs_sifra,vzs_naziv,cd_zelo_hitro,cd_hitro,cd_redno,cak_zelo_hitro,cak_hitro,cak_redno,cak_skupaj,n_tednov
1820,MRA pljučnih arterij KS,0.0,0.0,0.0,0.6696,0.6429,0.6696,0.6429,112
1821,MRA pelvično žilje KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1822,MRA pelvičnih a. In arterij spodnjih udov,0.0,0.0,0.0,0.0,0.0,0.0179,0.0,112
1823,MRA renalno žilje KS,0.0,0.0,0.0,0.0625,0.0625,0.0714,0.0536,112
1824,MRA zgornje okončine s KS,0.0,0.0,0.0,0.2589,0.25,0.2589,0.2411,112
1825,MRA prsnega koša s KS,0.0,0.0,0.0,0.4196,0.4375,0.4464,0.4196,112
1826,MRA hrbtenice s KS,0.0,0.0,0.0,0.4643,0.4643,0.4732,0.4554,112
1827,MRA trebuha s KS,0.0,0.0,0.0,0.0268,0.0,0.0268,0.0,112
1828,MRA medenice s KS,0.0,0.0,0.0,0.2857,0.2589,0.2857,0.2589,112
1829,MRA drugih področij s KS,0.0,0.0,0.0,0.0625,0.0536,0.0982,0.0536,112
1830,MRA pljučnih ven s KS,0.0,0.0,0.0,0.9911,0.9911,0.9911,0.9911,112
1831,MR srca - prikaz morfoloških struktur brez KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1832,MR srca - prikaz funkcije brez KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1833,MR srca - prikaz morfoloških struktur s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1834,MR srca - prikaz funkcije s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1835,MR koronarnih arterij s KS,0.0,0.0,0.0,0.5893,0.5982,0.5982,0.5893,112
1836,MRA srca in velikih žil - prikaz pretoka s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1852,RTG prstov rok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1853,RTG dlani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1854,RTG zapestja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1855,RTG os naviculare,0.0,0.0,0.0,0.8839,0.8929,0.8929,0.8839,112
1856,RTG podlahti,0.0,0.0,0.0,0.0089,0.0089,0.0536,0.0089,112
1857,RTG komolca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1858,RTG nadlahti,0.0,0.0,0.0,0.0,0.0,0.0089,0.0,112
1859,RTG rame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1860,RTG prstov nog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1861,RTG stopala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1862,RTG petnice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1863,RTG gležnja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1864,RTG goleni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1865,RTG kolena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1866,RTG pogačice,0.0,0.0,0.0,0.0089,0.0089,0.0,0.0,112
1867,RTG stegnenice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1868,RTG kolka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1869,RTG medenice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1870,RTG sakroiliakalnega sklepa - SIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1871,RTG cervikalne hrbtenice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1872,RTG torakalne hrbtenice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1873,RTG lumbosakralne hrbtenice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1874,RTG hrbtenice v predelu L5 - S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1875,RTG trtice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1876,RTG ključnice,0.0,0.0,0.0,0.0089,0.0,0.0,0.0,112
1877,RTG sternoklavikularnega sklepa,0.0,0.0,0.0,0.0446,0.0625,0.0536,0.0446,112
1878,RTG lopatice,0.0,0.0,0.0,0.0357,0.0446,0.0446,0.0357,112
1879,RTG reber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1880,RTG prsnice (sternuma),0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1881,RTG glave,0.0,0.0,0.0,0.0,0.0,0.0089,0.0,112
1882,RTG sinusov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1883,RTG nosa,0.0,0.0,0.0,0.2857,0.2857,0.2857,0.2589,112
1884,RTG po schullerju,0.0,0.0,0.0,0.4286,0.4107,0.4286,0.4107,112
1885,RTG ličnice,0.0,0.0,0.0,0.4911,0.5089,0.5,0.4911,112
1886,RTG orbit,0.0,0.0,0.0,0.7143,0.6964,0.6964,0.6875,112
1887,RTG spodnje čeljusti (mandibule),0.0,0.0,0.0,0.0089,0.0,0.0089,0.0,112
1888,RTG pc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1889,RTG abdomna,0.0,0.0,0.0,0.0089,0.0,0.0,0.0,112
