vzs_sifra,vzs_naziv,cak_zacetek,cak_konec,sprememba,sprememba_pct
1057P,Kardiološki pregled otroka - prvi,1336.0,1153.0,-183.0,-13.7
2109,Operacija hrbtenice - spondilodeza,1435.0,1242.0,-193.0,-13.4
1833,MR srca - prikaz morfoloških struktur s KS,804.0,600.0,-204.0,-25.4
2338P,Urološki pregled otroka - prvi,681.0,448.0,-233.0,-34.2
1327,Operacija žolčnih kamnov,2041.0,1776.0,-265.0,-13.0
1607,Operacija nožnega palca (hallux),3026.0,2739.0,-287.0,-9.5
1045P,Revmatološki pregled - prvi,5870.0,5581.0,-289.0,-4.9
1888,RTG pc,1455.0,1090.0,-365.0,-25.1
1310,Sklerozacija krčnih žil,1331.0,892.0,-439.0,-33.0
1400,"Odvzem tkivnega vzorca za histopatološko diagnostiko predrakavih/rakavih sprememb materničnega vratu (biopsija, odščip)",515.0,75.0,-440.0,-85.4
1760,MR obraza in drugo s KS,764.0,217.0,-547.0,-71.6
1472,Nevromišična elektrodiagnostika (tudi elektromiografija EMG),10445.0,9654.0,-791.0,-7.6
1930P,Okulistični pregled zaradi očal - prvi,5491.0,4667.0,-824.0,-15.0
1050P,Urološki pregled - prvi,7293.0,6182.0,-1111.0,-15.2
1026P,Nevrološki pregled - prvi,12526.0,11121.0,-1405.0,-11.2
1311,Operacija krčnih žil,7579.0,6095.0,-1484.0,-19.6
1018P,Kardiološki pregled - prvi,19129.0,16912.0,-2217.0,-11.6
