vzs_sifra,vzs_naziv,n_zanesljivih_tednov,popolna_vrsta,v_agregatu,opomba
1877,RTG sternoklavikularnega sklepa,105,False,False,
1878,RTG lopatice,107,False,False,
1879,RTG reber,110,True,True,
1880,RTG prsnice (sternuma),110,True,True,
1881,RTG glave,110,True,True,
1882,RTG sinusov,110,True,True,
1883,RTG nosa,81,False,False,
1884,RTG po schullerju,65,False,False,
1885,RTG ličnice,56,False,False,
1886,RTG orbit,35,False,False,
1887,RTG spodnje čeljusti (mandibule),110,True,True,
1888,RTG pc,110,True,True,
1889,RTG abdomna,110,True,True,
1893,Nativno slikanje ledvic,42,False,False,
1894,Intravenska urografija - IVU,98,False,False,
1895,Retrogradna pielografija,13,False,False,
1898,Perkutana anterogradna pielografija,2,False,False,
1921,Angiografija (brez koronarne angiografije),110,True,True,
1926,RTG solzevodov,1,False,False,
1927,RTG prvega vratnega vretenca (dens),3,False,False,
1930P,Okulistični pregled zaradi očal - prvi,110,True,True,
1931,UZ vratu,110,True,True,
1933,UZ otroške glave,110,True,True,
1938,Doppler ehografija,110,True,True,
1941,UZ vratnih žil,110,True,True,
1943,UZ dojk obojestransko,110,True,True,
1944,UZ dojk enostransko,110,True,True,
1952,Usmerjen UZ srca,110,True,True,
1983,UZ sklepa,110,True,True,
1985,UZ kolka novorojenčkov,110,True,True,
1986,UZ kolka dojenčkov,110,True,True,
1991,UZ mehkih tkiv,110,True,True,
1992,UZ preiskava ene bezgavčne lože,110,True,True,
2006,Artroskopija kolena (diagnostična in terapevtska),110,True,True,
2017,"Mamografija (vključuje odčitavanje slike, izključuje preventivno presejanje)",110,True,True,
2072,Kriokauterizacija ali krioterapija (postopek v dermatologiji),110,True,True,
2077,Odstranitev polipov,110,True,True,
2104,Revizijska operacija kolka,110,True,True,
2105,Revizijska operacija kolena,110,True,True,
2106,Revizijska operacija ramena,110,True,True,
2107,Vertebroplastika,110,True,True,
2108,Operacija hrbtenice - dekompresija,110,True,True,
2109,Operacija hrbtenice - spondilodeza,110,True,True,
2160,Lažji posegi v otorinolaringologiji v lokalni anesteziji,110,True,True,
2161,Posegi na ušesu v lokalni anesteziji,110,True,True,
2162,Posegi na bobniču ali srednjem ušesu v lokalni anesteziji,110,True,True,
2163,Posegi na notranjem ušesu v lokalni anesteziji,110,True,True,
2164,Kostno usidran slušni pripomoček - BAHA v lokalni anesteziji,110,True,True,
2165,Posegi na mandljih v lokalni anesteziji,110,True,True,
2166,Funkcionalni posegi v nosu v lokalni anesteziji,110,True,True,
2167,MIST (minimalno invazivna terapija sinusov) v lokalni anesteziji,110,True,True,
2168,Druge operacije nosu v lokalni anesteziji,110,True,True,
2170,Mali posegi malignih sprememb v otorinolaringologiji v lokalni anesteziji,110,True,True,
2171,Lažji posegi v otorinolaringologiji v splošni anesteziji,110,True,True,
2172,Posegi na mandljih pri odrasli v splošni anesteziji,110,True,True,
2173,Posegi na mandljih in žrelnici pri otrocih v splošni anesteziji,110,True,True,
2174,Posegi na žrelnici pri otrocih v splošni anesteziji,110,True,True,
2175,Posegi na žrelnici in bobniču pri otrocih v splošni anesteziji,110,True,True,
2176,Operacije malignih tumorjev v otorinolaringologiji v splošni anesteziji,110,True,True,
2177,Funkcionalne estetske operacije nosu v splošni anesteziji,110,True,True,
2178,Endoskopske operacije obnosnih votlin v splošni anesteziji,110,True,True,
2179,Pansinusne operacije v splošni anesteziji,110,True,True,
2180,Operacije tumorjev obnosnih votlin v splošni anesteziji,47,False,False,
2181,Druge operacije obnosnih votlin v splošni anesteziji,110,True,True,
2182P,Ginekološki pregled (razen pregled nosečnic) na sekundarni ravni - prvi,110,True,True,
2183P,Pregled ob neplodnosti - moški - prvi,110,True,True,
2184P,Pregled ob neplodnosti - ženske - prvi,110,True,True,
2214,Vestibuloplastika,25,False,False,
2215,Odstranitev eksostoz,88,False,False,
2217,Zapora antrooralne komunikacije,24,False,False,
2230,Ekscizija majhnih tumorjev v oralni kirurgiji,110,True,True,
2233,Obravnava bolezni slinavk,110,True,True,
2237,Zdravljenje recesije dlesni,110,True,True,
2271,UZ skrotuma,110,True,True,
2284,RTG celotne hrbtenice,110,True,True,
2309,Druge ušesne operacije,110,True,True,
2328P,Pregled v ambulanti za zdravljenje parastomalne kože - prvi,101,False,False,
2329,PTA (perkutana transluminalna angioplastika),110,True,True,
2338P,Urološki pregled otroka - prvi,110,True,True,
2345,MR protokol epilepsija brez KS,110,True,True,
2346,MR protokol epilepsija s KS,110,True,True,
